Sr. No.,Year,Author,Exp,Data,Vel,Temp,RH,hours,Fit,Variety,Technique,Pretreatment,P_temp,P_time,kg_r,kg_m,Diff_r,Diff_m,Do,TD,alpha,aLR,aRL,mwR,Density,Berry Count,Radius,Dry_Mass,Weight_i,Vol_i,Water_i,MR_i,MC_i,MC_i,Weight_f,Vol_f,Water_f,MC_eq_Lit,MC_eq_Lit,MR_f,MC_f,MC_f,Pretreatment
1,1970,Bottrill D. E.,1,4,0.01,27,50,500,0.482,Thomson,Dark,Chemical,25,180,,13.93,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,37.576,217.569,202.39,179.993,1,4.7901,0.8273,44.733,34.677,7.157,0.1494,0.13,0.0088,0.1905,0.16,Commercial dipping oil
2,1970,Bottrill D. E.,2,7,0.01,27,50,716,0.593,Thomson,Shade,Chemical,25,180,,15.952,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,42.389,217.457,202.285,175.068,1,4.13,0.8051,50.463,39.119,8.074,0.1494,0.13,0.0103,0.1905,0.16,Commercial dipping oil
3,1970,Bottrill D. E.,3,5,0.01,27,50,376,0.377,Thomson,Open Sun,Chemical,25,180,,32.96,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,50.351,217.355,202.19,167.004,1,3.3168,0.7683,59.942,46.466,9.591,0.1494,0.13,0.013,0.1905,0.16,Commercial dipping oil
4,1970,Bottrill D. E.,4,6,0.01,27,50,912,2.378,Thomson,Dark,Untreated,Untreated,Untreated,,5.775,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,43.347,217.355,202.19,174.008,1,4.0143,0.8006,51.603,40.002,8.256,0.1494,0.13,0.0106,0.1905,0.16,Untreated
5,1970,Bottrill D. E.,5,9,0.01,27,50,1150,5.101,Thomson,Shade,Untreated,Untreated,Untreated,,15.925,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,54.188,217.457,202.285,163.269,1,3.013,0.7508,64.509,50.007,10.321,0.1494,0.13,0.0143,0.1905,0.16,Untreated
6,1970,Bottrill D. E.,6,6,0.01,27,50,718,8.131,Thomson,Open Sun,Untreated,Untreated,Untreated,,6.541,,6.40E-03,1.25E+09,1583,1.59E-02,2.30E-02,5.49E-01,29.6,1075,150,0.685,46.507,217.457,202.285,170.95,1,3.6758,0.7861,55.365,42.919,8.858,0.1494,0.13,0.0116,0.1905,0.16,Untreated
7,1971,Grncarevic M.,1,5,2,40,50,48,0.16,Thomson,Convective,Chemical,25,180,,37.93,,8.54E-05,8.50E+08,2883,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,310.735,240.88,160.735,0.1561,0.135,0.1661,1.0716,0.5173,Fully dipped in emulsion of 2.5% (w/v) K2CO3 and 2% (v/v) Voullaire's 'E-Muls-Oyle' oil
8,1971,Grncarevic M.,2,5,2,40,50,48,0.086,Thomson,Convective,Chemical,25,180,,21.952,,8.54E-05,8.50E+08,2883,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,486.25,376.938,336.25,0.1561,0.135,0.3785,2.2417,0.6915,Half dipped in emulsion of 2.5% (w/v) K2CO3 and 2% (v/v) Voullaire's 'E-Muls-Oyle' oil
9,1971,Grncarevic M.,3,5,2,40,50,48,0.023,Thomson,Convective,Untreated,Untreated,Untreated,,8.96,,8.54E-05,8.50E+08,2883,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,729.825,565.756,579.825,0.1561,0.135,0.6731,3.8655,0.7945,Untreated
10,1974,Petrucci V.,1,151,0.05,29,57,446,1.061,Thomson,Convective,Chemical,25,180,,35.93,,6.73E-06,9.50E+08,3583,1.79E-02,2.30E-02,5.49E-01,29.6,1075,400,0.822,150,1000,930.233,850,1,5.6667,0.85,245.603,190.39,95.603,0.1364,0.12,0.0906,0.6374,0.3893,Commercial ethyl ester mixture (also comprising of an emulsifier and K2CO3)
